text,category
"hakuna maji tangu wiki iliyopita",Water
"maji hayatoki kwenye bomba letu",Water
"bomba la maji limevunjika linamwaga maji barabarani",Water
"maji machafu yanatoka bombani",Water
"tatizo la maji kwenye mtaa wetu",Water
"maji ya bomba yana rangi ya njano",Water
"maji hayajaji tangu jana",Water
"mfereji wa maji umevunjika unamwaga maji",Water
"hatuna maji ya kunywa kwa siku tatu",Water
"maji yanatoka machafu sana hayafai kunywa",Water
"bomba limepasuka linapoteza maji mengi",Water
"maji ya mtaani yamekauka kabisa",Water
"tenki la maji la mtaa limejaa uchafu",Water
"hakuna maji kabisa kwenye kisima chetu",Water
"pump ya maji imeharibika hatupati maji",Water
"maji yametoweka tangu wiki mbili zilizopita",Water
"bomba la maji la mtaani limevuja siku nyingi",Water
"shida ya maji imekuwa kubwa sana wiki hii",Water
"maji hayafiki nyumbani kwetu tangu Jumatatu",Water
"mabomba ya maji yamechakaa yanavuja kila mahali",Water
"maji ya bomba yananuka sana",Water
"kuna uvujaji mkubwa wa maji karibu na shule",Water
"maji yanatiririka barabarani kutoka kwenye bomba lililovunjika",Water
"hatujapata maji tangu wiki nzima hii ni shida kubwa",Water
"maji ya mtaro yamejaa yanaingia ndani ya nyumba",Water
"tatizo kubwa la maji limekuwepo kwa mwezi mzima",Water
"maji hayapatikani kabisa asubuhi hii",Water
"visima vyetu vimekauka hatuna njia ya kupata maji",Water
"maji ya bomba yamesimama tangu wikendi",Water
"mvuvumko wa maji umeharibu barabara ya mtaa",Water
"hakuna huduma ya maji tangu miezi miwili",Water
"maji ya bomba yanatoka kwa nguvu kidogo hayatoshi familia",Water
"kuna shimo linalovuja maji karibu na soko",Water
"maji taka yanachanganyika na maji ya kunywa hatari kubwa",Water
"wamekata maji bila taarifa yoyote",Water
"maji ya visima vimechafuka baada ya mvua",Water
"bomba kuu la maji limepasuka mtaa mzima",Water
"hatuna maji safi kwa matumizi ya nyumbani",Water
"maji ya bomba yanatoka mchana tu si usiku",Water
"chanzo cha maji kimekauka msimu huu",Water
"maji ya jamii yamepungua sana wiki hizi",Water
"bomba limevuja ndani ya nyumba linaharibu vitu",Water
"kero ya maji imekuwa ya kudumu mtaa mzima",Water
"maji hayafiki eneo letu licha ya malipo ya bili",Water
"tatizo la upatikanaji wa maji safi na salama",Water
"maji ya bomba yamechanganyika na udongo",Water
"hakuna maji ya kutosha kwenye kituo cha afya",Water
"mabomba yamevunjwa na wezi wanaiba maji",Water
"maji yanavuja usiku kucha yanapoteza gharama",Water
"No water supply for three days in our street",Water
"Water pipe burst and flooding the road",Water
"Dirty water coming from the tap",Water
"Water leakage near the market causing waste",Water
"low water pressure in the whole neighborhood",Water
"our water tank has been empty for a week",Water
"the borehole pump is broken, no water access",Water
"contaminated water is making people sick",Water
"water supply has been cut off without notice",Water
"leaking pipe wasting thousands of liters daily",Water
"no clean water available at the health center",Water
"water meter is broken and we are overcharged",Water
"residents forced to walk far to fetch water",Water
"water shortage has lasted the entire month",Water
"broken water main flooding several streets",Water
"umeme umekatika tangu jana usiku",Electricity
"nguzo ya umeme imeanguka barabarani",Electricity
"waya wa umeme umekatika unatoa cheche hatari",Electricity
"transformer inalipuka mara kwa mara",Electricity
"umeme wa mtaa haufanyi kazi kwa mwezi mzima",Electricity
"taa za barabarani hazina umeme kwa muda mrefu",Electricity
"umeme unakatika kila siku bila taarifa",Electricity
"nyaya za umeme zimening'inia chini karibu na watu",Electricity
"nguzo ya stima imeinama inaweza kuanguka wakati wowote",Electricity
"umeme umepotea tangu asubuhi hatujui shida ni nini",Electricity
"kuna moshi unatoka kwenye transfoma ya umeme",Electricity
"umeme unawaka na kuzima mara kwa mara unaharibu vifaa",Electricity
"waya za stima zimelegea zinaning'inia barabarani",Electricity
"hatuna umeme tangu dhoruba ya wiki iliyopita",Electricity
"nguzo ya umeme imevunjika inazuia barabara",Electricity
"kuna hatari ya kuungua kutokana na waya wazi za umeme",Electricity
"umeme wa nyumbani unawaka mwanga hafifu sana",Electricity
"transfoma ya mtaa imelipuka usiku wa leo",Electricity
"stima imekatika tangu wiki iliyopita bila maelezo",Electricity
"taa za barabarani zimezimika mtaa mzima gizani",Electricity
"nyumba yetu haina umeme kabisa kwa siku tano",Electricity
"umeme umekatika kila jioni bila sababu",Electricity
"waya za umeme zimeanguka baada ya dhoruba kali",Electricity
"kuna kishindo kikubwa kilichotokea kwenye transfoma",Electricity
"stima ya mtaa imezima tangu ajali ya gari kwenye nguzo",Electricity
"umeme unaruka kila mvua ikinyesha",Electricity
"nguzo ya umeme inaelemea nyumba jirani hatari kubwa",Electricity
"mita ya umeme imeungua haifanyi kazi",Electricity
"umeme wa shule umekatika wanafunzi wanasoma gizani",Electricity
"kuna cheche zinazotoka kwenye nyaya karibu na kituo cha mabasi",Electricity
"umeme umekatika mtaa mzima tangu wiki jana",Electricity
"vifaa vyetu vimeungua kwa sababu ya umeme kuwaka waka",Electricity
"nguzo ya umeme imeoza chini inaweza kuanguka",Electricity
"kampuni ya umeme haijibu malalamiko yetu ya muda mrefu",Electricity
"taa moja tu ya barabarani inafanya kazi mtaa mzima",Electricity
"umeme wa kudumu haufanyi kazi tangu ujenzi wa barabara",Electricity
"waya wa umeme umeshuka chini kutokana na mti kuanguka",Electricity
"gharama za umeme zimepanda lakini huduma ni mbaya",Electricity
"transfoma imeungua watu wanaogopa kupita karibu",Electricity
"umeme haupo kwenye zahanati wagonjwa wanaathirika",Electricity
"kuna hatari kubwa ya nyaya za umeme kwenye njia ya watoto wa shule",Electricity
"Power outage since last night, no electricity",Electricity
"Electric pole fell down and is blocking the road",Electricity
"Sparking electric wire near houses, very dangerous",Electricity
"frequent power fluctuations damaging appliances",Electricity
"streetlights not working for a month",Electricity
"transformer explosion near residential area",Electricity
"exposed electrical wires hanging dangerously low",Electricity
"power has been off for a week with no explanation",Electricity
"electrical fire risk from damaged wiring",Electricity
"entire block has no electricity after storm",Electricity
"faulty meter is overcharging our household",Electricity
"school children study in the dark due to power cuts",Electricity
"electric pole leaning dangerously over houses",Electricity
"barabara imeharibika baada ya mvua",Roads
"kuna shimo kubwa barabarani linasababisha ajali",Roads
"daraja limeharibika ni hatari kupita",Roads
"barabara haina taa hivyo ni hatari usiku",Roads
"tuta la barabara limeharibika kabisa",Roads
"barabara yetu imejaa mashimo makubwa",Roads
"gari zinapata shida kupita kwenye barabara hii mbovu",Roads
"barabara imejaa matope hakuna mtu anayepita kwa urahisi",Roads
"kuna shimo kubwa mno linalosababisha magari kuharibika",Roads
"daraja dogo limevunjika watu wanashindwa kuvuka",Roads
"barabara ya mtaa wetu haijawahi kutengenezwa miaka mingi",Roads
"vumbi jingi linatokana na barabara isiyo na lami",Roads
"mvua ikinyesha barabara inakuwa haipitiki kabisa",Roads
"kuna alama za barabarani zilizoharibika hazionekani usiku",Roads
"barabara kuu imejaa mashimo hatari kwa madereva",Roads
"tumepata ajali nyingi kwa sababu ya barabara mbovu",Roads
"barabara ya kuelekea sokoni imeharibika vibaya",Roads
"mchanga na kokoto vimejaa barabarani vinasababisha kuteleza",Roads
"kivuko cha watembea kwa miguu kimeharibika ni hatari",Roads
"barabara ndogo za mtaa hazijawahi kupata lami",Roads
"mfumo wa mifereji ya maji ya mvua umeziba barabara inafurika",Roads
"barabara imemomonyoka kutokana na mvua kubwa",Roads
"daraja la mbao limechakaa ni hatari kwa watembea kwa miguu",Roads
"njia ya baiskeli imeziba kwa mashimo makubwa",Roads
"barabara ya lami imepasuka sehemu nyingi",Roads
"vibao vya barabarani vimeng'olewa hakuna mwongozo",Roads
"gari langu limeharibika kutokana na shimo barabarani",Roads
"barabara inayoelekea hospitalini ni hatari sana",Roads
